iyear,nkill
1970,1
1970,0
1970,1
1970,
1970,
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,7
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,47
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,2
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,2
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,2
1970,0
1970,1
1970,0
1970,0
1970,0
1970,0
1970,
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,
1970,0
1970,
1970,1
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,
1970,
1970,0
1970,0
1970,0
1970,
1970,0
1970,0
1970,0
1970,0
1970,
1970,
1970,0
1970,0
1970,0
1970,0
1970,1
1970,1
1970,
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,
1970,
1970,0
1970,0
1970,0
1970,0
1970,
1970,0
1970,1
1970,1
1970,0
1970,
1970,0
1970,0
1970,0
1970,5
1970,3
1970,1
1970,1
1970,3
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,
1970,0
1970,
1970,1
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,2
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,
1970,0
1970,0
1970,
1970,0
1970,1
1970,0
1970,0
1970,
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,1
1970,
1970,0
1970,4
1970,
1970,0
1970,2
1970,
1970,
1970,1
1970,1
1970,0
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,2
1970,0
1970,2
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,1
1970,0
1970,0
1970,
1970,0
1970,0
1970,0
1970,0
1970,1
1970,
1970,0
1970,0
1970,0
1970,0
1970,
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,0
1970,
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,
1970,
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,4
1970,0
1970,0
1970,1
1970,0
1970,0
1970,0
1970,
1970,0
1970,0
1970,1
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,2
1970,0
1970,0
1970,0
1970,0
1970,0
1970,
1970,0
1970,0
1970,0
1970,0
1970,0
1970,
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,0
1970,1
1970,0
1970,0
1970,0
1970,0
1970,0
1970,
1970,0
1971,0
1971,
1971,0
1971,0
1971,0
1971,0
1971,0
1971,
1971,0
1971,0
1971,0
1971,1
1971,
1971,0
1971,0
1971,1
1971,
1971,0
1971,0
1971,
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,1
1971,0
1971,
1971,0
1971,0
1971,0
1971,0
1971,1
1971,0
1971,0
1971,0
1971,
1971,1
1971,
1971,
1971,0
1971,
1971,
1971,0
1971,0
1971,
1971,1
1971,1
1971,0
1971,
1971,5
1971,0
1971,0
1971,0
1971,0
1971,0
1971,
1971,
1971,0
1971,0
1971,0
1971,0
1971,0
1971,1
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,
1971,0
1971,
1971,0
1971,1
1971,0
1971,0
1971,0
1971,2
1971,0
1971,0
1971,0
1971,
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,1
1971,0
1971,0
1971,0
1971,
1971,
1971,
1971,1
1971,0
1971,0
1971,
1971,
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,
1971,0
1971,0
1971,0
1971,0
1971,0
1971,3
1971,
1971,
1971,
1971,0
1971,2
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,
1971,0
1971,0
1971,0
1971,1
1971,1
1971,0
1971,
1971,3
1971,0
1971,0
1971,0
1971,0
1971,1
1971,0
1971,0
1971,0
1971,3
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,1
1971,0
1971,0
1971,0
1971,1
1971,0
1971,0
1971,0
1971,
1971,
1971,0
1971,0
1971,0
1971,0
1971,
1971,
1971,
1971,0
1971,0
1971,0
1971,0
1971,
1971,0
1971,0
1971,0
1971,0
1971,1
1971,0
1971,
1971,1
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,
1971,0
1971,0
1971,1
1971,
1971,
1971,
1971,
1971,
1971,0
1971,0
1971,2
1971,0
1971,1
1971,0
1971,0
1971,0
1971,1
1971,0
1971,0
1971,0
1971,0
1971,
1971,1
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,1
1971,1
1971,
1971,
1971,
1971,0
1971,0
1971,0
1971,0
1971,
1971,1
1971,0
1971,0
1971,0
1971,1
1971,1
1971,1
1971,1
1971,0
1971,1
1971,1
1971,0
1971,1
1971,1
1971,1
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,1
1971,1
1971,0
1971,0
1971,0
1971,
1971,0
1971,0
1971,1
1971,0
1971,0
1971,1
1971,1
1971,0
1971,0
1971,2
1971,0
1971,0
1971,0
1971,1
1971,1
1971,1
1971,0
1971,
1971,1
1971,1
1971,1
1971,1
1971,1
1971,1
1971,1
1971,1
1971,1
1971,0
1971,1
1971,1
1971,1
1971,
1971,0
1971,0
1971,
1971,
1971,0
1971,0
1971,0
1971,0
1971,1
1971,2
1971,1
1971,0
1971,1
1971,1
1971,1
1971,0
1971,1
1971,0
1971,0
1971,0
1971,1
1971,
1971,0
1971,0
1971,0
1971,0
1971,2
1971,1
1971,1
1971,1
1971,0
1971,0
1971,1
1971,1
1971,1
1971,2
1971,1
1971,0
1971,2
1971,0
1971,0
1971,3
1971,1
1971,0
1971,0
1971,0
1971,0
1971,1
1971,1
1971,
1971,0
1971,2
1971,1
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,0
1971,1
1971,
1971,25
1971,0
1971,0
1971,1
1971,1
1971,2
1971,1
1971,1
1971,1
1971,
1971,
1971,1
1971,
1971,0
1971,15
1971,1
1971,0
1971,1
1971,0
1971,0
1971,1
1971,1
